productcomp,producttype,productspec
flakes,flakes,flakes
flavoured milk,milk,flavoured
flavoured salt,salt,flavoured
flavoured spirit,spirit,flavoured
flavoured water,water,flavoured
flavoured wine,wine,flavoured
flavoured yoghurt,yoghurt,flavoured
flavouring tea,tea,flavouring
flounder,salt,salt
fonio grain,fonio,grain
fontina,fontina,fontina
french bean,french bean,french bean
fresh cheese,cheese,fresh
fruit and vegetable jam,fruit and vegetable,jam
fruit and vegetable spread,fruit and vegetable,spread
fruit cake,fruit cake,fruit cake
fruit chips,fruit chips,fruit chips
fruit infusion,fruit,infusion
fruit jelly,fruit,jelly
fruit liqueur,fruit liqueur,fruit liqueur
fruit preparation,fruit,preparation
functional drink,functional drink,functional drink
garden peas without pod,garden peas,without pod
garfish,garfish,garfish
garlic,garlic,garlic
garlic paste,garlic,paste
gastropod,gastropod,gastropod
gelatine,gelatine,gelatine
gelly candy,candy,gelly
ghee,ghee,ghee
gherkin,gherkin,gherkin
gin,gin,gin
ginger root,ginger,root
gingerbread,gingerbread,gingerbread
girger root,ginger,root
gluten,gluten,gluten
gluten free bread,bread,gluten free
gluten free pasta,pasta,gluten free
goat fat tissue,goat,fat tissue
goat fresh meat,goat,fresh meat
goat liver,goat,liver
goat milk,goat,milk
goat yoghurt,goat,yoghurt
gojiberry,gojiberry,gojiberry
goose egg,goose,egg
goose fresh meat,goose,fresh meat
goose liver,goose,liver
goose processed fat tissue,goose,processed fat tissue
gooseberry,gooseberry,gooseberry
gorgonzola,gorgonzola,gorgonzola
gouda,gouda,gouda
grana padano,grana padano,grana padano
grape,grape,grape
grape juice,grape,juice
grape leaf,grape leaf,grape leaf
grape oil,grape,oil
grapefruit,grapefruit,grapefruit
grapefruit juice,grapefruit,juice
green coffee,coffee,green
green mussel,mussel,green
grouper,grouper,grouper
guinea fowl fresh meat,guinea fowl,fresh meat
haddock,haddock,haddock
hake,hake,hake
halibut,halibut,halibut
halva,halva,halva
hard candy,candy,hard
hard cheese,cheese,hard
hard cheesee,cheese,hard
hare fresh meat,hare,fresh meat
harring,harring,harring
hazelnut,hazelnut,hazelnut
head cabbage,head cabbage,head cabbage
